"language","subject","component","Proportion"
"Spanish",111,"Path",1
"Spanish",111,"MannerCause",0.46875
"Spanish",111,"MannerObject",0.09375
"Spanish",111,"Direction",0
"Spanish",111,"Ground",1
"Spanish",111,"Object",1
"Spanish",112,"Path",1
"Spanish",112,"MannerCause",0
"Spanish",112,"MannerObject",0.0625
"Spanish",112,"Direction",0
"Spanish",112,"Ground",1
"Spanish",112,"Object",1
"Spanish",113,"Path",0.96875
"Spanish",113,"MannerCause",0.75
"Spanish",113,"MannerObject",0.09375
"Spanish",113,"Direction",0
"Spanish",113,"Ground",1
"Spanish",113,"Object",1
"Spanish",115,"Path",0.90625
"Spanish",115,"MannerCause",0.71875
"Spanish",115,"MannerObject",0.125
"Spanish",115,"Direction",0
"Spanish",115,"Ground",1
"Spanish",115,"Object",1
"Spanish",117,"Path",0.9375
"Spanish",117,"MannerCause",0.65625
"Spanish",117,"MannerObject",0
"Spanish",117,"Direction",0
"Spanish",117,"Ground",0.96875
"Spanish",117,"Object",1
"Spanish",119,"Path",1
"Spanish",119,"MannerCause",0.46875
"Spanish",119,"MannerObject",0
"Spanish",119,"Direction",0
"Spanish",119,"Ground",0.96875
"Spanish",119,"Object",1
"Spanish",120,"Path",1
"Spanish",120,"MannerCause",1
"Spanish",120,"MannerObject",0
"Spanish",120,"Direction",0
"Spanish",120,"Ground",0.96875
"Spanish",120,"Object",1
"Spanish",122,"Path",1
"Spanish",122,"MannerCause",0.5
"Spanish",122,"MannerObject",0.0625
"Spanish",122,"Direction",0
"Spanish",122,"Ground",1
"Spanish",122,"Object",1
"Spanish",211,"Path",0.78125
"Spanish",211,"MannerCause",0.3125
"Spanish",211,"MannerObject",0
"Spanish",211,"Direction",0
"Spanish",211,"Ground",1
"Spanish",211,"Object",1
"Spanish",215,"Path",0.90625
"Spanish",215,"MannerCause",0.46875
"Spanish",215,"MannerObject",0
"Spanish",215,"Direction",0
"Spanish",215,"Ground",0.71875
"Spanish",215,"Object",0.9375
"Spanish",216,"Path",0.90625
"Spanish",216,"MannerCause",0.75
"Spanish",216,"MannerObject",0
"Spanish",216,"Direction",0
"Spanish",216,"Ground",1
"Spanish",216,"Object",1
"Spanish",217,"Path",1
"Spanish",217,"MannerCause",0.71875
"Spanish",217,"MannerObject",0.21875
"Spanish",217,"Direction",0
"Spanish",217,"Ground",0.9375
"Spanish",217,"Object",1
"Spanish",218,"Path",0.875
"Spanish",218,"MannerCause",0.1875
"Spanish",218,"MannerObject",0.03125
"Spanish",218,"Direction",0
"Spanish",218,"Ground",1
"Spanish",218,"Object",1
"Spanish",311,"Path",1
"Spanish",311,"MannerCause",0.4375
"Spanish",311,"MannerObject",0
"Spanish",311,"Direction",0
"Spanish",311,"Ground",1
"Spanish",311,"Object",1
"Spanish",312,"Path",0.9375
"Spanish",312,"MannerCause",0.90625
"Spanish",312,"MannerObject",0.0625
"Spanish",312,"Direction",0
"Spanish",312,"Ground",1
"Spanish",312,"Object",1
"Spanish",313,"Path",1
"Spanish",313,"MannerCause",0.8125
"Spanish",313,"MannerObject",0.21875
"Spanish",313,"Direction",0
"Spanish",313,"Ground",1
"Spanish",313,"Object",1
"Spanish",318,"Path",0.875
"Spanish",318,"MannerCause",0.34375
"Spanish",318,"MannerObject",0.0625
"Spanish",318,"Direction",0
"Spanish",318,"Ground",1
"Spanish",318,"Object",1
"Spanish",322,"Path",0.90625
"Spanish",322,"MannerCause",0.46875
"Spanish",322,"MannerObject",0.34375
"Spanish",322,"Direction",0
"Spanish",322,"Ground",1
"Spanish",322,"Object",1
"Spanish",323,"Path",0.875
"Spanish",323,"MannerCause",0.5625
"Spanish",323,"MannerObject",0.15625
"Spanish",323,"Direction",0.09375
"Spanish",323,"Ground",1
"Spanish",323,"Object",1
"Spanish",411,"Path",1
"Spanish",411,"MannerCause",0.8125
"Spanish",411,"MannerObject",0.125
"Spanish",411,"Direction",0
"Spanish",411,"Ground",0.9375
"Spanish",411,"Object",0.9375
"Spanish",415,"Path",0.9375
"Spanish",415,"MannerCause",0.4375
"Spanish",415,"MannerObject",0.03125
"Spanish",415,"Direction",0
"Spanish",415,"Ground",1
"Spanish",415,"Object",1
"Spanish",418,"Path",0.90625
"Spanish",418,"MannerCause",0.8125
"Spanish",418,"MannerObject",0.09375
"Spanish",418,"Direction",0.1875
"Spanish",418,"Ground",1
"Spanish",418,"Object",1
"Spanish",420,"Path",0.90625
"Spanish",420,"MannerCause",0.78125
"Spanish",420,"MannerObject",0.03125
"Spanish",420,"Direction",0
"Spanish",420,"Ground",0.96875
"Spanish",420,"Object",1
"Spanish",601,"Path",1
"Spanish",601,"MannerCause",0.03125
"Spanish",601,"MannerObject",0
"Spanish",601,"Direction",0
"Spanish",601,"Ground",1
"Spanish",601,"Object",1
"Swedish",701,"Path",1
"Swedish",701,"MannerCause",0.75
"Swedish",701,"MannerObject",0.25
"Swedish",701,"Direction",0
"Swedish",701,"Ground",1
"Swedish",701,"Object",1
"Swedish",702,"Path",1
"Swedish",702,"MannerCause",0.78125
"Swedish",702,"MannerObject",0.21875
"Swedish",702,"Direction",0
"Swedish",702,"Ground",1
"Swedish",702,"Object",1
"Swedish",703,"Path",1
"Swedish",703,"MannerCause",0.90625
"Swedish",703,"MannerObject",0.21875
"Swedish",703,"Direction",0
"Swedish",703,"Ground",1
"Swedish",703,"Object",1
"Swedish",704,"Path",1
"Swedish",704,"MannerCause",0.84375
"Swedish",704,"MannerObject",0.1875
"Swedish",704,"Direction",0
"Swedish",704,"Ground",1
"Swedish",704,"Object",1
"Swedish",705,"Path",1
"Swedish",705,"MannerCause",0.6875
"Swedish",705,"MannerObject",0.25
"Swedish",705,"Direction",0
"Swedish",705,"Ground",1
"Swedish",705,"Object",1
"Swedish",706,"Path",0.9375
"Swedish",706,"MannerCause",0.28125
"Swedish",706,"MannerObject",0.34375
"Swedish",706,"Direction",0
"Swedish",706,"Ground",1
"Swedish",706,"Object",1
"Swedish",707,"Path",1
"Swedish",707,"MannerCause",0.625
"Swedish",707,"MannerObject",0.28125
"Swedish",707,"Direction",0
"Swedish",707,"Ground",1
"Swedish",707,"Object",1
"Swedish",709,"Path",1
"Swedish",709,"MannerCause",0.5
"Swedish",709,"MannerObject",0.25
"Swedish",709,"Direction",0
"Swedish",709,"Ground",0.96875
"Swedish",709,"Object",1
"Swedish",710,"Path",0.96875
"Swedish",710,"MannerCause",0.75
"Swedish",710,"MannerObject",0.5
"Swedish",710,"Direction",0
"Swedish",710,"Ground",0.96875
"Swedish",710,"Object",1
"Swedish",711,"Path",1
"Swedish",711,"MannerCause",0.75
"Swedish",711,"MannerObject",0.25
"Swedish",711,"Direction",0
"Swedish",711,"Ground",1
"Swedish",711,"Object",1
"Swedish",801,"Path",1
"Swedish",801,"MannerCause",0.75
"Swedish",801,"MannerObject",0.25
"Swedish",801,"Direction",0
"Swedish",801,"Ground",1
"Swedish",801,"Object",0.96875
"Swedish",802,"Path",1
"Swedish",802,"MannerCause",0.75
"Swedish",802,"MannerObject",0.25
"Swedish",802,"Direction",0
"Swedish",802,"Ground",1
"Swedish",802,"Object",1
"Swedish",803,"Path",1
"Swedish",803,"MannerCause",0.6875
"Swedish",803,"MannerObject",0.21875
"Swedish",803,"Direction",0
"Swedish",803,"Ground",0.96875
"Swedish",803,"Object",1
"Swedish",804,"Path",0.25
"Swedish",804,"MannerCause",0.875
"Swedish",804,"MannerObject",0.34375
"Swedish",804,"Direction",0
"Swedish",804,"Ground",0.25
"Swedish",804,"Object",1
"Swedish",805,"Path",1
"Swedish",805,"MannerCause",0.8125
"Swedish",805,"MannerObject",0.1875
"Swedish",805,"Direction",0
"Swedish",805,"Ground",1
"Swedish",805,"Object",1
"Swedish",806,"Path",1
"Swedish",806,"MannerCause",0.875
"Swedish",806,"MannerObject",0.125
"Swedish",806,"Direction",0
"Swedish",806,"Ground",1
"Swedish",806,"Object",1
"Swedish",807,"Path",1
"Swedish",807,"MannerCause",0.65625
"Swedish",807,"MannerObject",0.5
"Swedish",807,"Direction",0
"Swedish",807,"Ground",1
"Swedish",807,"Object",1
"Swedish",808,"Path",1
"Swedish",808,"MannerCause",0.96875
"Swedish",808,"MannerObject",0.03125
"Swedish",808,"Direction",0
"Swedish",808,"Ground",1
"Swedish",808,"Object",1
"Swedish",809,"Path",1
"Swedish",809,"MannerCause",0.75
"Swedish",809,"MannerObject",0.25
"Swedish",809,"Direction",0
"Swedish",809,"Ground",1
"Swedish",809,"Object",1
"Swedish",810,"Path",1
"Swedish",810,"MannerCause",0.75
"Swedish",810,"MannerObject",0.3125
"Swedish",810,"Direction",0
"Swedish",810,"Ground",1
"Swedish",810,"Object",1
"Swedish",811,"Path",1
"Swedish",811,"MannerCause",0.8125
"Swedish",811,"MannerObject",0.28125
"Swedish",811,"Direction",0
"Swedish",811,"Ground",1
"Swedish",811,"Object",1
"Swedish",812,"Path",1
"Swedish",812,"MannerCause",0.78125
"Swedish",812,"MannerObject",0.40625
"Swedish",812,"Direction",0
"Swedish",812,"Ground",1
"Swedish",812,"Object",1
